Participant,Completed Step,Apple,ApplePieCookbook,Butter,ButterHolder,CinnyShakerGrabable,Knife,NewMeasuringCup,PieBowl,PiePan,PillsberryDoughBoy,PillsberryDoughGirl,SaucePot,StaticMeshActor,StirSpoonPie,SugarJar,WaterPitcher,oven,Interacted Objects,UnecessaryPomegranate,BeefStewCookbook,UnecessaryLime
C001,Add Sugar ,0,2,0,0,2,0,4,0,0.0,0.0,0.0,0,2,0,2,0,0.0,12,,,
C001,Add water,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,1,0.0,3,,,
C001,Add butter,0,0,3,2,0,0,4,0,0.0,0.0,0.0,0,0,0,0,3,0.0,12,,,
C001,Add apples to pan,49,0,0,0,0,10,2,2,0.0,0.0,0.0,0,10,2,0,0,0.0,75,,,
C001,Add cinnamon,16,1,4,0,1,0,2,2,0.0,0.0,0.0,0,0,0,0,0,0.0,26,,,
C001,Add crust top,0,1,0,2,0,0,2,4,0.0,1.0,0.0,0,0,0,0,0,0.0,10,,,
C001,Stir bowl,0,1,0,0,0,2,0,4,0.0,0.0,0.0,1,0,3,0,0,0.0,11,,,
C001,Put pie in oven,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,2.0,5,,,
C001,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C001,Add bottom crust,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,1,0,0,0.0,2,,,
C003,Add Sugar ,0,2,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,0,0.0,5,,,
C003,Add cinnamon,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,,,
C003,Stir bowl,0,1,0,0,0,0,0,2,0.0,0.0,0.0,1,2,3,0,0,0.0,9,,,
C003,Add crust top,0,1,0,0,0,0,0,2,0.0,0.0,2.0,0,0,0,0,0,0.0,5,,,
C003,Put pie in oven,0,1,0,0,0,0,0,0,6.0,0.0,0.0,0,0,0,0,0,2.0,9,,,
C003,Add water,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,1,0.0,2,,,
C003,Add butter,0,0,4,2,0,0,0,0,0.0,0.0,0.0,0,2,0,0,1,0.0,9,,,
C003,Add apples to pan,56,0,0,0,0,20,0,12,0.0,0.0,0.0,0,10,2,0,0,0.0,100,,,
C003,Add bottom crust,0,0,0,0,0,0,0,0,0.0,4.0,2.0,0,0,1,0,0,0.0,7,,,
C003,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C006,Add Sugar ,0,2,0,0,0,0,5,0,0.0,0.0,0.0,0,2,0,2,0,0.0,11,,,
C006,Add water,0,18,0,0,0,0,3,0,0.0,0.0,0.0,2,0,0,0,1,0.0,24,,,
C006,Add apples to pan,25,0,0,0,0,9,6,8,2.0,0.0,0.0,2,10,0,2,6,2.0,72,,,
C006,Add cinnamon,6,1,0,0,1,1,0,2,0.0,0.0,0.0,0,0,0,0,0,0.0,11,,,
C006,Stir bowl,6,3,0,0,0,0,0,3,0.0,0.0,0.0,1,4,7,0,0,0.0,24,,,
C006,Add crust top,0,1,0,0,0,0,0,2,0.0,1.0,0.0,0,0,0,0,0,0.0,4,,,
C006,Put pie in oven,0,2,0,0,0,0,0,0,4.0,0.0,0.0,0,0,0,0,0,2.0,8,,,
C006,Add butter,0,0,4,2,0,0,0,0,0.0,0.0,0.0,2,0,0,0,1,0.0,9,,,
C006,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C006,Add bottom crust,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0.0,3,,,
C008,Add Sugar ,0,2,0,0,0,0,5,0,0.0,0.0,0.0,0,0,0,2,0,0.0,9,,,
C008,Add water,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,1,0.0,2,,,
C008,Add butter,0,1,7,2,0,0,0,0,0.0,0.0,0.0,0,4,0,0,1,0.0,15,,,
C008,Add apples to pan,87,1,0,0,0,30,0,11,0.0,0.0,0.0,0,18,6,0,0,0.0,153,,,
C008,Add cinnamon,2,1,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,5,,,
C008,Stir bowl,4,1,0,0,0,0,0,1,0.0,0.0,0.0,1,2,3,0,4,0.0,16,,,
C008,Add crust top,0,1,0,0,0,0,0,2,0.0,2.0,0.0,0,0,2,0,0,0.0,7,,,
C008,Put pie in oven,0,1,0,0,0,0,0,0,2.0,0.0,0.0,2,0,0,0,0,2.0,7,,,
C008,Add bottom crust,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0.0,3,,,
C008,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C009,Add Sugar ,0,2,0,0,0,0,3,0,0.0,0.0,0.0,0,2,0,2,2,0.0,11,0.0,,
C009,Add water,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,1,0.0,2,0.0,,
C009,Add cinnamon,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,4,2.0,,
C009,Stir bowl,0,1,0,0,0,0,0,1,0.0,0.0,0.0,10,2,3,0,0,0.0,17,0.0,,
C009,Add crust top,0,1,0,0,0,0,0,4,0.0,4.0,0.0,0,0,0,0,0,0.0,9,0.0,,
C009,Put pie in oven,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,2.0,5,0.0,,
C009,Add butter,0,0,3,6,0,0,0,0,0.0,0.0,0.0,0,4,0,2,5,0.0,20,0.0,,
C009,Add apples to pan,73,0,0,0,2,14,0,6,0.0,0.0,0.0,0,10,2,0,6,0.0,113,0.0,,
C009,Add bottom crust,0,0,0,0,0,0,0,3,0.0,0.0,1.0,0,0,1,0,0,0.0,5,0.0,,
C009,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,0.0,3,0.0,,
C012,Add Sugar ,0,2,0,0,0,0,1,0,0.0,0.0,0.0,0,2,0,2,0,0.0,7,,,
C012,Add cinnamon,4,1,0,0,3,0,0,0,0.0,0.0,0.0,0,6,0,0,0,0.0,14,,,
C012,Stir bowl,0,1,0,0,0,0,0,18,0.0,0.0,0.0,1,8,9,0,0,0.0,37,,,
C012,Add crust top,0,3,0,0,0,0,0,4,0.0,1.0,0.0,0,1,0,0,0,0.0,9,,,
C012,Put pie in oven,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0,1,0,2,0,2.0,8,,,
C012,Add apples to pan,83,0,0,0,0,36,0,6,0.0,0.0,0.0,0,0,4,2,0,0.0,131,,,
C012,Add butter,0,0,2,2,0,0,0,0,0.0,0.0,0.0,0,4,0,0,3,0.0,11,,,
C012,Add bottom crust,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0,2,1,0,0,0.0,7,,,
C012,Add water,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0,0,0,0,1,0.0,6,,,
C012,Pour syrup,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,4,,,
C013,Add Sugar ,0,2,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,2,0,0.0,7,,,
C013,Add water,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,4,0,4,1,0.0,12,,,
C013,Add butter,0,0,3,2,0,0,2,0,0.0,0.0,0.0,0,8,0,0,5,0.0,20,,,
C013,Add apples to pan,88,0,0,0,12,26,2,8,2.0,0.0,0.0,0,12,4,0,0,2.0,156,,,
C013,Add cinnamon,0,1,4,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,6,,,
C013,Stir bowl,0,1,0,2,0,0,0,0,0.0,0.0,0.0,3,0,7,0,0,0.0,13,,,
C013,Add crust top,0,1,0,0,0,0,0,2,0.0,1.0,0.0,0,0,0,0,0,0.0,4,,,
C013,Put pie in oven,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,2.0,5,,,
C013,Pour syrup,0,0,0,0,1,0,0,2,0.0,0.0,0.0,1,0,0,0,0,0.0,4,,,
C013,Add bottom crust,0,0,0,0,0,0,0,2,0.0,0.0,1.0,0,0,3,0,0,0.0,6,,,
C016,Add Sugar ,0,2,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,2,0,0.0,7,,,
C016,Add water,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,3,0.0,5,,,
C016,Add butter,0,0,3,2,0,0,5,0,0.0,0.0,0.0,4,4,0,0,1,0.0,19,,,
C016,Add cinnamon,0,1,0,0,1,2,0,2,0.0,0.0,0.0,2,0,0,0,2,0.0,10,,,
C016,Stir bowl,0,1,0,0,0,0,0,1,0.0,0.0,0.0,1,2,4,0,0,0.0,9,,,
C016,Add crust top,2,1,0,0,0,0,0,2,0.0,0.0,8.0,0,4,2,0,0,0.0,19,,,
C016,Put pie in oven,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,2.0,5,,,
C016,Add apples to pan,68,0,0,0,2,10,0,12,0.0,0.0,0.0,0,10,4,0,0,0.0,106,,,
C016,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C016,Add bottom crust,0,0,0,0,0,0,0,3,0.0,2.0,0.0,0,2,2,0,0,0.0,9,,,
C017,Add Sugar ,0,2,0,0,0,0,5,0,0.0,0.0,0.0,0,0,0,2,0,0.0,9,,,
C017,Add butter,0,0,6,2,0,0,1,0,0.0,0.0,0.0,0,4,0,2,0,0.0,15,,,
C017,Add apples to pan,37,0,0,0,0,4,2,2,0.0,0.0,0.0,0,2,0,0,1,0.0,48,,,
C017,Add cinnamon,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,,,
C017,Stir bowl,32,5,0,0,0,6,0,8,0.0,0.0,0.0,1,4,3,0,0,0.0,59,,,
