Participant,Add Sugar ,Add apples to pan,Add bottom crust,Add butter,Add cinnamon,Add crust top,Add water,Pour syrup,Put pie in oven,Stir bowl,Time Spent S.D
C001,55.984138,67.623001,10.883575,54.850884,33.037109,12.837036,7.48513,13.074173,29.308258,28.208069,21.49130985
C003,31.197189,125.379514,18.700104,20.857246,8.605255,7.507629,6.02517,41.206573,46.15448,28.341126,35.15407049
C006,118.110626,183.5495,15.726929,15.804414,31.934326,13.067017,46.604676,15.447265,26.710999,84.640747,56.95073934
C008,41.653915,208.696129,11.598053,41.156044,25.368682,19.957367,13.552243,14.826203,33.99289,43.96814,58.6609588
C009,104.666523,152.436783,17.494324,38.612061,11.566071,17.157135,13.232506,11.191041,21.599487,36.298431,47.72888007
C012,29.760672,147.974433,20.044953,33.957078,29.792206,25.748383,20.786091,14.33435,31.648498,157.31427,53.87795893
C013,62.200799,221.171464,29.298706,28.664108,21.116241,20.518677,19.548736,19.138671,24.752259,54.897033,61.98267957
C016,159.126901,107.637816,18.814697,51.289429,28.903259,35.779053,22.220154,14.304321,25.281983,43.062622,46.61089393
C017,66.473244,46.296859,15.58667,26.874329,7.946121,15.084595,2.834381,15.363815,28.872772,120.176254,35.59080851
C020,81.177734,83.502838,29.395263,43.930253,111.876434,15.874023,12.533326,10.82605,35.608887,47.944214,34.35783241
C021,191.645446,22.632538,19.528534,26.094971,30.702759,19.458924,20.562057,8.997101,48.646362,23.992737,53.824557
C024,19.868166,103.940555,23.593887,10.343377,18.394302,15.846832,2.787906,10.079025,40.541412,26.540085,28.89436617
C025,19.137089,55.888846,9.959869,23.285431,59.556076,26.900726,10.097396,5.498856,111.279602,14.966599,33.02045002
C028,210.106638,227.417113,15.576172,76.377105,15.170899,22.741455,5.41626,18.962769,199.065186,50.131043,90.97838054
C029,131.835693,64.256105,0,10.806244,12.521698,0,28.488565,9.396606,0,0,42.24581192
C032,64.692955,102.831558,21.310913,44.075196,102.569672,36.290588,44.018493,18.865997,38.624267,51.108581,29.61419357
