Participant,Add Sugar ,Add apples to pan,Add bottom crust,Add butter,Add cinnamon,Add crust top,Add water,Pour syrup,Put pie in oven,Stir bowl,Total Completed Steps
C001,1,8,1,2,1,1,1,1,1,1,18
C003,1,8,1,2,1,1,1,1,1,1,18
C006,1,8,1,2,1,1,1,1,1,1,18
C008,1,16,1,2,1,1,1,1,1,1,26
C009,1,16,1,2,1,1,1,1,1,1,26
C012,1,16,1,2,1,1,1,1,1,1,26
C013,1,16,1,2,1,1,1,1,1,1,26
C016,1,16,1,2,1,1,1,1,1,1,26
C017,1,9,1,2,1,1,1,1,1,1,19
C020,1,8,1,2,1,1,1,1,1,1,18
C021,2,8,1,4,1,1,1,1,1,1,21
C024,1,16,1,2,1,1,1,1,1,1,26
C025,1,8,1,2,1,1,1,1,1,1,18
C028,1,16,1,2,1,1,1,1,1,1,26
C029,1,8,0,2,1,0,1,1,0,0,14
C032,1,8,1,2,1,1,1,1,1,1,18
