,C002,C004,C005,C010,C011,C014,C015,C018,C019,C022,C023,C026,C027,C030,C031,Mean,Median,Std Dev,IQR
knife,34,32,26,28,20,18,46,18,40,16,74,24,20,20,38,30,27,14,13
staticmeshactor,30,10,28,0,50,2,16,0,6,0,22,20,2,0,6,17,16,13,14
meat,50,53,36,44,73,0,59,39,48,0,74,42,32,39,78,51,49,14,15
beefstewcookbook,12,11,25,3,13,16,22,11,9,0,10,9,9,12,10,12,11,5,3
stirspoon,6,4,14,0,0,4,6,2,4,0,4,4,4,8,2,5,4,2,1
brothparent,6,2,10,2,10,12,6,2,4,0,2,6,4,0,6,5,5,3,3
potato,18,19,0,0,24,14,20,17,21,0,18,16,15,0,25,18,18,3,3
carrot,10,9,6,0,0,8,18,6,6,0,9,8,6,8,10,8,8,3,3
carrotbottomquarter1,6,4,4,0,0,6,4,4,4,0,4,4,7,9,4,5,4,1,1
peppershakergrabable,4,2,6,0,0,4,4,2,4,0,2,8,6,2,6,4,4,1,3
tomato,13,15,16,0,16,18,22,21,14,0,16,14,15,14,14,16,15,2,2
onion,18,19,22,0,43,16,22,19,32,0,24,20,17,19,29,23,21,7,4
newladle,2,8,0,0,0,0,2,6,2,0,2,2,4,0,2,3,2,2,1
saltshakergrabable,2,2,6,0,0,6,8,2,2,0,2,2,2,2,6,3,2,2,2
carrotbottomquarter2,4,4,4,0,0,3,5,4,4,0,4,4,6,4,4,4,4,0,0
carrottopquarter2,4,6,4,0,0,2,8,4,4,0,6,4,5,4,4,4,4,1,0
carrottop,3,4,2,0,0,2,16,3,5,0,5,2,2,2,3,4,3,3,2
carrottopquarter1,3,6,4,0,0,3,4,4,4,0,6,4,4,4,6,4,4,0,0
stewbowl,2,4,0,0,0,0,8,2,0,0,0,4,0,0,2,3,3,1,2
carrotbotton,2,4,2,0,0,2,12,3,5,0,5,3,3,4,2,3,3,2,1
exit,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
oven,0,0,2,0,0,0,2,0,0,8,0,0,0,0,0,4,3,2,1
newmeasuringcupsimple2,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,42,42,0,10
piebowlsimple,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,24,0,6
applepiecookbook,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,15,0,3
stirspoonpiesimple,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,14,0,3
piepansimple,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,14,0,3
waterpitchersimple,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,3
apple,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,94,94,0,23
pillsberrydoughgirlsimple,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,1
butter,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0,1
butterholdersimple,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,1
cinnyshakergrabable,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,1
saucepotsimple2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,1
sugarjarsimple,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0
pillsberrydoughboysimple,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Total Interacted Objects,229,219,218,77,249,136,310,169,219,266,289,201,163,151,257,210,218,58,79
