,Participant,Completed Step,BeefStewCookbook,BrothParent,Carrot,CarrotBottomQuarter1,CarrotBottomQuarter2,CarrotBotton,CarrotTop,CarrotTopQuarter1,CarrotTopQuarter2,Knife,Meat,Onion,PepperShakerGrabable,Potato,SaltShakerGrabable,StaticMeshActor,StirSpoon,Tomato,Interacted Objects,ApplePieCookbook
0,C002,Pour Broth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,
1,C002,Add Beef,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,
2,C002,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,30,
3,C002,Add Tomtato,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20,
4,C002,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,18.0,0.0,8.0,0.0,0.0,39,
5,C002,Add Carrot,1.0,0.0,10.0,6.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,47,
6,C002,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4,
7,C002,Stir Stew,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,
8,C002,Add Salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,8,
9,C004,Add Beef,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,
10,C004,Add Onion,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,61,
11,C004,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20,
12,C004,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,30,
13,C004,Add Carrot,1.0,0.0,9.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,
14,C004,Add pepper,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8,
15,C004,Add Salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4,
16,C004,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,
17,C005,Pour Broth,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,10,
18,C005,Add Beef,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,,0.0,6.0,0.0,0.0,36,
19,C005,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,2.0,1.0,0.0,5,
20,C005,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,,0.0,2.0,0.0,0.0,27,
21,C005,Add Tomtato,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,4.0,0.0,16.0,24,
22,C005,Add Carrot,1.0,0.0,6.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,31,
23,C005,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,4.0,0.0,0.0,7,
24,C010,Pour Broth,1.0,1.0,,,,,,,,0.0,0.0,,,,,,,,2,
25,C010,Add Beef,1.0,1.0,,,,,,,,4.0,30.0,,,,,,,,36,
26,C011,Pour Broth,1.0,9.0,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,10,
27,C011,Add Beef,1.0,1.0,,,,,,,,8.0,57.0,0.0,,0.0,,20.0,,0.0,87,
28,C011,Add Onion,3.0,0.0,,,,,,,,8.0,0.0,35.0,,0.0,,4.0,,0.0,50,
29,C011,Add Tomtato,1.0,0.0,,,,,,,,2.0,0.0,4.0,,0.0,,2.0,,16.0,25,
30,C011,Add Potato,7.0,0.0,,,,,,,,2.0,14.0,2.0,,15.0,,8.0,,0.0,48,
31,C014,Pour Broth,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,7,
32,C014,Add Tomtato,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,0.0,18.0,26,
33,C014,Add Potato,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,14.0,0.0,,0.0,0.0,18,
34,C014,Add Carrot,3.0,2.0,8.0,6.0,3.0,2.0,2.0,3.0,2.0,10.0,,0.0,0.0,0.0,0.0,,2.0,0.0,43,
35,C014,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,3.0,0.0,2.0,,0.0,0.0,8,
36,C014,Add Salt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,0.0,0.0,3,
37,C014,Stir Stew,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,1.0,0.0,3,
38,C014,Add Onion,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,16.0,0.0,0.0,0.0,,0.0,0.0,20,
39,C015,Pour Broth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,
40,C015,Add Beef,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,
41,C015,Add Onion,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,33,
42,C015,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,35,
43,C015,Add Potato,9.0,0.0,6.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,52,
44,C015,Add Carrot,3.0,0.0,12.0,4.0,5.0,8.0,11.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,67,
45,C015,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4,
46,C015,Stir Stew,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,3.0,0.0,15,
47,C015,Add Salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,
48,C018,Pour Broth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,
49,C018,Add Beef,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,0.0,0.0,0.0,0.0,,0.0,0.0,45,
