Participant,Add Beef,Add Carrot,Add Onion,Add Potato,Add Salt,Add Tomtato,Add pepper,Pour Broth,Stir Stew,Total Completed Steps
C002,4,8,4,4,1,4,1,1,1,28
C004,4,8,4,4,1,4,1,1,1,28
C005,4,8,4,0,1,4,1,1,1,24
C010,2,0,0,0,0,0,0,1,0,3
C011,8,0,4,2,0,4,0,1,0,19
C014,0,8,4,4,1,4,1,1,1,24
C015,8,8,4,4,1,4,1,1,1,32
C018,8,8,4,4,1,4,1,1,1,32
C019,4,8,4,4,1,4,1,1,1,28
C022,8,0,2,0,0,0,0,1,0,11
C023,8,8,4,4,1,4,1,1,1,32
C026,4,8,4,4,1,4,1,1,1,28
C027,8,8,4,4,1,4,1,1,1,32
C030,0,0,0,0,0,0,0,0,1,1
C031,8,8,4,4,1,4,1,1,1,32
