Participant,Add Sugar ,Add apples to pan,Add bottom crust,Add butter,Add cinnamon,Add crust top,Add water,Post last step,Pour syrup,Put pie in oven,Stir bowl,Action Count S.D
C002,70,68,6,8,7,23,22,4,4,12,7,24.61706725018234
C004,28,36,3,9,2,5,2,6,2,7,6,11.430421928106831
C005,19,85,2,7,52,3,3,13,3,33,4,26.613052163450657
C010,22,81,2,2,5,22,8,19,7,15,6,22.471395959388826
C011,5,0,0,11,0,0,0,41,0,0,0,12.375929717141913
C014,9,127,13,16,8,4,8,52,2,10,3,37.17917305550124
C015,8,90,2,7,2,4,6,6,2,7,14,25.625626378153715
C018,46,98,20,7,3,6,9,13,4,7,12,28.409025454470054
C019,8,48,5,10,29,21,1,11,2,7,7,14.073831293316232
C023,16,76,5,8,5,4,4,14,8,25,14,20.847498214850194
C026,92,57,7,12,47,6,2,7,10,13,16,28.549478581450966
C027,16,117,4,10,4,3,4,9,2,7,18,33.37445947808812
C030,35,78,3,14,2,5,2,5,2,9,4,23.183458052515107
C031,12,73,3,8,6,8,2,19,2,11,5,20.353690753097514
