,Participant,Completed Step,Apple,ApplePieCookbook,Butter,ButterHolderSimple,CinnyShakerGrabable,Knife,NewMeasuringCupSimple2,PieBowlSimple,PiePanSimple,PillsberryDoughBoySimple,PillsberryDoughGirlSimple,SaucePotSimple2,StirSpoonPieSImple,SugarJarSimple,WaterPitcherSimple,oven,Interacted Objects
0,C002,Add Sugar ,2.0,2,4,6,0.0,2.0,35,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,55
1,C002,Add water,0.0,8,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0,7.0,0.0,20
2,C002,Add crust top,0.0,1,0,0,2.0,2.0,2,8.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,20
3,C002,Add butter,0.0,0,3,0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8
4,C002,Add cinnamon,0.0,1,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4
5,C002,Stir bowl,0.0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,3.0,0,0.0,0.0,6
6,C002,Put pie in oven,0.0,2,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,6
7,C002,Add apples to pan,42.0,0,0,0,0.0,12.0,0,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,68
8,C002,Pour syrup,0.0,0,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,4
9,C002,Add bottom crust,0.0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,3.0,0,0.0,0.0,6
10,C004,Add Sugar ,0.0,4,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,6.0,0.0,2,0.0,0.0,21
11,C004,Add water,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2
12,C004,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
13,C004,Stir bowl,0.0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0,2.0,0.0,6
14,C004,Add cinnamon,0.0,1,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2
15,C004,Add crust top,0.0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,5
16,C004,Put pie in oven,0.0,1,0,0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,2.0,7
17,C004,Add butter,0.0,0,4,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,7
18,C004,Add apples to pan,28.0,0,0,0,0.0,4.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,36
19,C004,Add bottom crust,0.0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,3
20,C005,Add Sugar ,0.0,2,0,0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,16
21,C005,Add water,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,3
22,C005,Add apples to pan,52.0,5,0,8,0.0,4.0,0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,79
23,C005,Add cinnamon,2.0,2,0,0,1.0,0.0,0,8.0,0.0,0.0,0.0,1.0,34.0,0,0.0,0.0,48
24,C005,Put pie in oven,0.0,7,0,0,0.0,0.0,0,0.0,10.0,0.0,0.0,0.0,0.0,0,0.0,6.0,23
25,C005,Add butter,0.0,0,4,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,7
26,C005,Pour syrup,0.0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,3
27,C005,Add crust top,0.0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,3
28,C005,Stir bowl,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,4
29,C005,Add bottom crust,0.0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,2
30,C010,Add Sugar ,0.0,2,0,2,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,2,0.0,,6
31,C010,Pour syrup,0.0,1,0,0,1.0,0.0,0,5.0,,0.0,0.0,0.0,0.0,0,0.0,,7
32,C010,Add crust top,0.0,1,0,0,0.0,0.0,0,6.0,,0.0,4.0,0.0,10.0,0,0.0,,21
33,C010,Put pie in oven,0.0,1,0,0,0.0,0.0,0,8.0,,2.0,2.0,0.0,2.0,0,0.0,,15
34,C010,Add water,0.0,0,3,0,0.0,0.0,4,0.0,,0.0,0.0,0.0,0.0,0,0.0,,7
35,C010,Add butter,0.0,0,0,0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0,1.0,,1
36,C010,Add apples to pan,66.0,0,0,0,0.0,8.0,0,4.0,,0.0,0.0,0.0,0.0,0,1.0,,79
37,C010,Add cinnamon,0.0,0,0,0,0.0,0.0,0,5.0,,0.0,0.0,0.0,0.0,0,0.0,,5
38,C010,Stir bowl,0.0,0,0,0,3.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,3
39,C010,Add bottom crust,0.0,0,0,0,0.0,0.0,0,0.0,,0.0,0.0,2.0,0.0,0,0.0,,2
40,C011,Add Sugar ,,1,0,0,,,1,,,,,,,2,,,4
41,C011,Add butter,,1,3,2,,,1,,,,,,,4,,,11
42,C014,Add Sugar ,0.0,2,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,6
43,C014,Add cinnamon,0.0,1,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6
44,C014,Stir bowl,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,3
45,C014,Add bottom crust,0.0,1,0,0,0.0,0.0,2,2.0,4.0,0.0,1.0,0.0,3.0,0,0.0,0.0,13
46,C014,Put pie in oven,0.0,2,0,0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,2.0,8
47,C014,Add apples to pan,70.0,0,0,0,2.0,24.0,6,8.0,0.0,0.0,0.0,0.0,12.0,4,0.0,0.0,126
48,C014,Add water,0.0,0,0,0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,7
49,C014,Add butter,0.0,0,2,6,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,5.0,0.0,15
50,C014,Add crust top,0.0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,3
51,C014,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
52,C015,Add Sugar ,0.0,2,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,5
53,C015,Add cinnamon,0.0,1,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2
54,C015,Stir bowl,0.0,1,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,1.0,5.0,0,2.0,0.0,13
55,C015,Add crust top,0.0,1,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,4
56,C015,Put pie in oven,0.0,2,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,6
57,C015,Add butter,0.0,0,3,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,7
58,C015,Add water,4.0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,6
59,C015,Add apples to pan,65.0,0,0,0,0.0,14.0,0,10.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,90
60,C015,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
61,C015,Add bottom crust,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,2
62,C018,Add Sugar ,0.0,24,0,0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,31
63,C018,Add water,0.0,5,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,7
64,C018,Add cinnamon,0.0,1,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2
65,C018,Stir bowl,0.0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,3.0,0,0.0,0.0,7
66,C018,Add crust top,0.0,1,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,4
67,C018,Put pie in oven,0.0,1,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,3.0,6
68,C018,Add butter,0.0,0,4,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,7
69,C018,Add apples to pan,70.0,0,0,0,0.0,2.0,0,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,94
70,C018,Pour syrup,0.0,0,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,4
71,C018,Add bottom crust,0.0,0,0,0,0.0,0.0,0,6.0,6.0,2.0,5.0,0.0,1.0,0,0.0,0.0,20
72,C019,Add Sugar ,0.0,2,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,7
73,C019,Add butter,0.0,0,4,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9
74,C019,Add cinnamon,18.0,1,0,0,1.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24
75,C019,Stir bowl,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,0,0.0,0.0,5
76,C019,Add crust top,0.0,1,0,0,0.0,0.0,0,18.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,21
77,C019,Put pie in oven,0.0,1,0,0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,2.0,7
78,C019,Add water,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1
79,C019,Add apples to pan,39.0,0,0,0,0.0,6.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,48
80,C019,Add bottom crust,0.0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,1.0,0,0.0,0.0,5
81,C019,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
82,C023,Add Sugar ,0.0,2,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,13
83,C023,Add water,0.0,0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4
84,C023,Add butter,0.0,0,3,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8
85,C023,Add apples to pan,58.0,1,0,0,0.0,6.0,0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,75
86,C023,Stir bowl,0.0,1,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,5.0,0,2.0,0.0,12
87,C023,Add crust top,0.0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,4
88,C023,Put pie in oven,0.0,1,0,0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,8.0,15
89,C023,Add cinnamon,0.0,0,0,0,1.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5
90,C023,Pour syrup,0.0,0,0,0,5.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,8
91,C023,Add bottom crust,0.0,0,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,5
92,C026,Add Sugar ,0.0,2,0,0,0.0,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,81
93,C026,Add water,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2
94,C026,Add cinnamon,30.0,1,0,0,1.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,44
95,C026,Stir bowl,0.0,1,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,3.0,2.0,0,0.0,0.0,16
96,C026,Add crust top,0.0,1,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6
97,C026,Put pie in oven,0.0,1,0,0,0.0,2.0,0,0.0,6.0,0.0,0.0,0.0,2.0,0,0.0,2.0,13
98,C026,Add butter,0.0,0,4,2,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,9
99,C026,Add apples to pan,39.0,0,0,0,0.0,2.0,0,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57
100,C026,Pour syrup,0.0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,10
101,C026,Add bottom crust,0.0,0,0,0,0.0,0.0,0,0.0,2.0,0.0,1.0,0.0,4.0,0,0.0,0.0,7
102,C027,Add Sugar ,0.0,2,0,0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,13
103,C027,Add water,0.0,0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4
104,C027,Add cinnamon,0.0,1,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4
105,C027,Stir bowl,0.0,1,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.0,0,0.0,0.0,13
106,C027,Put pie in oven,0.0,2,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,6
107,C027,Add butter,2.0,0,3,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,10
108,C027,Add apples to pan,81.0,0,0,0,0.0,24.0,0,4.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,113
109,C027,Add bottom crust,0.0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,4
110,C027,Add crust top,0.0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,3
111,C027,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
112,C030,Add Sugar ,0.0,4,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0,9
113,C030,Add cinnamon,0.0,1,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2
114,C030,Stir bowl,0.0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,4
115,C030,Add crust top,0.0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,4
116,C030,Put pie in oven,0.0,1,0,0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,2.0,7
117,C030,Add butter,0.0,0,4,2,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0,1.0,0.0,13
118,C030,Add apples to pan,42.0,0,3,0,0.0,14.0,0,12.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,75
119,C030,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
120,C030,Add water,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2
121,C030,Add bottom crust,0.0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,3
122,C031,Add Sugar ,0.0,2,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,5
123,C031,Add cinnamon,0.0,3,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4
124,C031,Stir bowl,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,3
125,C031,Add crust top,0.0,1,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,5
126,C031,Put pie in oven,0.0,1,0,0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,2.0,7
127,C031,Add water,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2
128,C031,Add butter,0.0,0,4,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,7
129,C031,Add apples to pan,62.0,0,0,0,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,70
130,C031,Pour syrup,0.0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2
131,C031,Add bottom crust,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,1.0,0,0.0,0.0,3
