,C002,C004,C005,C010,C011,C014,C015,C018,C019,C023,C026,C027,C030,C031,Mean,Median,Std Dev,IQR
newmeasuringcupsimple2,38,10,14,4,2,16,2,6,6,14,76,12,2,2,14,10,18,10
piebowlsimple,28,8,22,30,0,12,16,34,26,24,20,10,16,2,19,19,8,13
knife,20,4,6,8,4,24,14,2,6,6,18,24,14,12,11,11,7,8
applepiecookbook,15,9,16,7,5,7,7,34,7,7,7,7,9,9,10,7,7,2
butter,9,4,4,3,3,2,3,4,4,3,4,3,7,4,4,4,1,1
waterpitchersimple,8,4,2,2,0,6,4,2,2,4,2,4,2,4,3,3,1,2
butterholdersimple,6,2,10,2,4,8,2,2,2,2,2,4,2,2,3,2,2,2
stirspoonpiesimple,6,2,40,12,0,16,6,4,4,6,8,14,2,2,9,6,9,6
apple,44,28,54,66,27,70,69,70,57,58,69,83,42,62,57,58,15,25
pillsberrydoughboysimple,5,1,1,2,0,1,1,3,2,1,1,1,1,2,1,1,1,1
sugarjarsimple,4,2,2,2,6,6,4,2,2,2,4,2,2,2,3,2,1,2
oven,4,3,7,2,0,3,4,6,4,10,4,4,4,4,4,4,1,0
cinnyshakergrabable,4,2,2,4,2,8,2,2,2,6,20,2,2,4,4,2,4,2
saucepotsimple2,4,8,2,4,0,2,2,2,2,2,4,2,14,2,3,2,3,2
piepansimple,4,6,16,6,0,58,4,10,6,16,10,4,6,6,11,6,13,6
pillsberrydoughgirlsimple,2,2,1,6,0,1,1,5,2,1,1,1,1,2,2,1,1,1
exit,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Total Interacted Objects,201,96,200,160,53,240,141,188,135,162,251,177,126,121,165,141,99,84
