Participant,Add Beef,Add Carrot,Add Onion,Add Potato,Add Salt,Add Tomtato,Add pepper,Post last step,Pour Broth,Stir Stew,Action Count S.D
C001,35,40,33,23,2,25,2,5,13,2,15.033296378372908
C003,59,35,35,19,2,18,2,12,28,2,18.443908961437042
C006,33,83,26,23,7,24,2,8,4,6,24.180800464647795
C008,72,70,55,17,5,34,2,11,6,18,27.19068467937748
C009,153,63,0,27,2,32,6,17,42,2,46.42125949749029
C012,42,35,28,22,2,20,4,5,3,2,15.122095680750661
C013,74,64,48,22,0,29,0,26,10,41,25.382408606487022
C016,60,35,24,21,2,21,2,11,4,3,18.52355857340112
C017,49,40,57,20,4,26,4,7,9,2,20.3840896561782
C020,30,40,54,33,4,23,2,18,6,2,18.023441526091638
C021,83,62,49,30,8,29,8,10,7,24,26.07254835603489
C024,43,33,19,22,2,17,2,8,3,7,14.017449443065198
C025,28,35,42,20,2,18,2,9,2,2,15.033296378372908
C028,45,43,34,20,2,22,2,6,2,4,17.441967269268172
C029,0,191,0,0,0,0,0,4,0,84,63.04222570803018
C032,64,31,34,17,2,17,2,6,6,2,19.996944210998283
