Participant,Completed Step,BeefStewCookbook,BrothParent,Carrot,CarrotBottomQuarter1,CarrotBottomQuarter2,CarrotBotton,CarrotTop,CarrotTopQuarter1,CarrotTopQuarter2,Knife,Meat,Onion,PepperShakerGrabableSimple,Potato,SaltShakerGrabableSimple,StirSpoonSimple,Tomato,Interacted Objects
C001,Pour Broth,1,3.0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,12
C001,Add Beef,3,3.0,0,0,0,0,0,0,0,8,17,4,0,0,0,0,0,35
C001,Add Onion,1,2.0,2,0,0,0,0,0,0,10,2,16,0,0,0,0,0,33
C001,Add Tomtato,1,0.0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,16,25
C001,Add Carrot,1,0.0,5,4,4,4,4,4,5,6,2,0,0,0,0,0,0,39
C001,Add Potato,1,0.0,6,0,0,0,0,0,0,2,0,0,0,14,0,0,0,23
C001,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C001,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C001,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C003,Pour Broth,6,13.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23
C003,Add Beef,26,7.0,2,0,0,0,0,0,0,4,16,0,0,0,0,0,0,55
C003,Add Onion,1,0.0,0,0,0,0,0,0,0,10,0,24,0,0,0,0,0,35
C003,Add Tomtato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,17
C003,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,17
C003,Add Carrot,1,0.0,6,5,4,3,2,5,4,4,0,0,0,0,0,0,0,34
C003,Add pepper,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
C003,Add Salt,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C003,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
C006,Pour Broth,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C006,Add Beef,1,1.0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,33
C006,Add Onion,1,0.0,0,0,0,0,0,0,0,4,2,18,0,0,0,0,0,25
C006,Add Tomtato,3,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,22
C006,Add Potato,1,0.0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,21
C006,Add Carrot,1,0.0,12,7,11,7,1,2,2,6,4,0,0,0,0,0,0,53
C006,Add Salt,1,0.0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4
C006,Add pepper,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
C006,Stir Stew,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4
C008,Pour Broth,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
C008,Add Beef,1,1.0,0,0,0,0,0,0,0,14,55,0,0,0,0,0,0,71
