,C001,C003,C006,C008,C009,C012,C013,C016,C017,C020,C021,C024,C025,C028,C029,C032
knife,28,26,18,50,68,20,54,20,44,42,48,20,16,26,60,22
carrot,23,8,12,9,16,6,15,6,8,8,6,6,6,9,18,6
beefstewcookbook,10,39,10,27,23,9,12,11,10,19,39,9,9,8,8,9
brothparent,8,20,2,4,4,2,8,4,6,4,10,2,2,2,0,4
onion,22,24,18,39,25,25,26,17,22,20,31,16,16,29,19,22
meat,21,16,35,55,87,36,46,44,47,38,75,35,34,38,37,54
stirspoonsimple,4,2,2,4,8,2,10,4,2,4,4,2,2,4,2,2
tomato,16,14,15,24,39,14,18,16,15,17,15,14,14,14,68,14
carrottopquarter2,5,4,2,5,6,4,4,4,4,5,5,5,4,4,4,4
potato,14,14,18,13,18,20,18,15,14,20,19,15,16,14,19,14
carrotbotton,4,3,7,8,8,2,10,4,5,4,5,2,4,5,2,2
carrotbottomquarter1,4,5,7,6,4,4,7,4,4,4,8,4,6,4,6,5
carrottop,4,2,1,8,6,2,10,2,4,4,6,2,2,4,4,2
carrotbottomquarter2,4,4,11,13,4,4,6,4,4,7,4,4,4,4,4,4
carrottopquarter1,4,5,2,2,4,4,4,4,6,4,6,4,6,4,3,5
peppershakergrabablesimple,2,2,6,4,2,4,22,2,4,2,6,4,2,2,6,2
saltshakergrabablesimple,2,6,2,4,4,2,6,2,2,2,4,4,2,2,2,2
newladlesimple,2,4,2,2,0,2,0,2,4,6,4,2,2,2,0,2
exit,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1
stewbowlsimple,0,0,0,4,0,0,0,2,0,0,0,2,0,2,0,0
oven,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Total Interacted Objects,177,199,171,281,328,162,279,167,206,211,296,152,148,177,262,176
