Participant,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Total Completed Steps,Add Onion,Add Tomtato,Add Beef,Add Carrot,Add Potato,Error to Actions Ratio,Chopped,Left Hand Grab,Left Hand Released,Right Hand Grab,Right Hand Released,Left Hand Grab - Missed,Right Hand Grab - Missed,Object Count - Add Tomtato,Object Count - Add Potato,Object Count - Add Carrot,Object Count - Add Onion
C001,36,180,241.81397199999998,3.0,177,19.373009985773557,15.033296378372908,28,33,25,35,40,23,0.016666666666666666,19,18,16,69,58,1,2,25,23,39,33
C003,58,212,368.9397419999999,13.0,199,35.630608511171644,18.44390896143704,28,35,18,59,35,19,0.06132075471698113,25,37,14,83,53,8,5,17,17,34,35
C006,42,216,258.60922100000005,45.0,171,19.902276083290094,24.180800464647795,28,26,24,33,83,23,0.20833333333333334,38,18,9,99,52,8,37,22,21,53,25
C008,34,290,316.8822700000001,9.0,281,20.35701378456956,27.19068467937748,32,55,34,72,70,17,0.03103448275862069,38,38,29,111,74,3,6,34,16,69,53
C009,24,344,450.877417,16.0,328,47.3838466614094,46.42125949749029,28,0,32,153,63,27,0.046511627906976744,37,48,33,127,99,4,12,32,27,63,0
C012,54,163,240.62766699999997,1.0,162,14.95829323575964,15.12209568075066,32,28,20,42,35,22,0.006134969325153374,31,7,6,64,55,1,0,20,22,35,28
C013,48,314,530.895012,35.0,279,35.520103238086335,25.382408606487022,30,48,29,74,64,22,0.11146496815286625,39,56,38,107,74,15,20,25,21,62,45
C016,39,183,185.527859,16.0,167,11.689684042807365,18.52355857340112,32,24,21,60,35,21,0.08743169398907104,33,36,26,53,35,8,8,21,20,33,21
C017,36,218,335.72973700000006,12.0,206,25.446555485181584,20.3840896561782,28,57,26,49,40,20,0.05504587155963303,27,30,24,77,60,5,7,24,19,38,55
C020,30,212,320.340694,1.0,211,17.424497257135858,18.02344152609164,28,54,23,30,40,33,0.0047169811320754715,40,17,17,80,58,0,1,23,33,40,54
C021,29,310,481.3433159999999,14.0,296,35.93208480475368,26.07254835603489,28,49,29,83,62,30,0.04516129032258064,50,17,10,142,91,3,11,28,30,57,49
C024,42,156,188.80774500000004,4.0,152,10.711102226119912,14.017449443065198,32,19,17,43,33,22,0.02564102564102564,29,1,0,70,56,0,4,17,22,32,19
C025,24,160,317.064713,12.0,148,21.66053005553325,15.033296378372908,28,42,18,28,35,20,0.075,29,1,0,76,54,0,12,17,19,35,36
C028,50,180,283.07716600000015,3.0,177,19.425700577809742,17.441967269268172,32,34,22,45,43,20,0.016666666666666666,39,0,0,76,65,0,3,21,19,43,34
C032,63,181,214.46732399999996,5.0,176,16.958551937563787,19.996944210998283,28,34,17,64,31,17,0.027624309392265192,39,0,0,80,62,0,5,17,17,31,34
