Participant,Gender,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Add Onion,Add Tomtato,Add Beef,Add Carrot,Add Potato,Error to Actions Ratio,Object Count - Add Tomtato,Object Count - Add Potato,Object Count - Add Carrot,Object Count - Add Onion
C002,Female,28,236,379.717201,7,229,27.0922633,19.57435965,31,20,57,49,39,0.029661017,20,39,47,30
C004,Male,30,230,448.278247,11,219,33.31935447,20.70963276,63,22,34,46,30,0.047826087,20,30,40,61
C005,Female,46,244,630.314119,26,218,46.98987818,25.98803143,27,27,36,31,0,0.106557377,24,0,31,27
C011,Female,34,317,441.342282,68,249,40.77888145,34.48687351,57,26,98,0,68,0.214511041,25,48,0,50
C014,Female,32,149,301.389534,13,136,14.3763813,13.52733857,20,26,0,44,18,0.087248322,26,18,43,20
C015,Female,33,328,477.137853,18,310,34.37766774,30.62606007,34,35,89,72,56,0.054878049,35,52,67,33
C018,Male,50,175,311.229064,6,169,17.5840737,15.62938827,24,25,46,35,23,0.034285714,24,23,34,22
C019,Female,40,222,392.315865,3,219,29.69353548,24.38031993,81,19,29,41,26,0.013513514,19,26,41,81
C023,Female,52,296,512.460218,7,289,52.2617544,36.08077358,38,26,105,80,29,0.023648649,26,29,79,37
C026,Female,33,202,392.338178,1,201,20.10639195,15.59772063,47,22,36,34,29,0.004950495,21,29,34,47
C027,Female,41,167,288.690354,4,163,16.15487976,15.87485783,22,18,43,44,18,0.023952096,18,18,44,22
C031,Male,61,303,631.112215,46,257,59.93625459,31.94109161,52,20,108,41,33,0.151815182,19,32,37,42
