Participant,Gender,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Add Onion,Add Tomtato,Add Beef,Add Carrot,Add Potato,Error to Actions Ratio,Object Count - Add Tomtato,Object Count - Add Potato,Object Count - Add Carrot,Object Count - Add Onion
C001,Female,36,180,241.813972,3,177,19.37300999,15.03329638,33,25,35,40,23,0.016666667,25,23,39,33
C003,Female,58,212,368.939742,13,199,35.63060851,18.44390896,35,18,59,35,19,0.061320755,17,17,34,35
C006,Male,42,216,258.609221,45,171,19.90227608,24.18080046,26,24,33,83,23,0.208333333,22,21,53,25
C008,Female,34,290,316.88227,9,281,20.35701378,27.19068468,55,34,72,70,17,0.031034483,34,16,69,53
C009,Female,24,344,450.877417,16,328,47.38384666,46.4212595,0,32,153,63,27,0.046511628,32,27,63,0
C012,Female,54,163,240.627667,1,162,14.95829324,15.12209568,28,20,42,35,22,0.006134969,20,22,35,28
C013,Female,48,314,530.895012,35,279,35.52010324,25.38240861,48,29,74,64,22,0.111464968,25,21,62,45
C016,Male,39,183,185.527859,16,167,11.68968404,18.52355857,24,21,60,35,21,0.087431694,21,20,33,21
C017,Male,36,218,335.729737,12,206,25.44655549,20.38408966,57,26,49,40,20,0.055045872,24,19,38,55
C020,Female,30,212,320.340694,1,211,17.42449726,18.02344153,54,23,30,40,33,0.004716981,23,33,40,54
C021,Female,29,310,481.343316,14,296,35.9320848,26.07254836,49,29,83,62,30,0.04516129,28,30,57,49
C024,Female,42,156,188.807745,4,152,10.71110223,14.01744944,19,17,43,33,22,0.025641026,17,22,32,19
C025,Female,24,160,317.064713,12,148,21.66053006,15.03329638,42,18,28,35,20,0.075,17,19,35,36
C028,Male,50,180,283.077166,3,177,19.42570058,17.44196727,34,22,45,43,20,0.016666667,21,19,43,34
C032,Female,63,181,214.467324,5,176,16.95855194,19.99694421,34,17,64,31,17,0.027624309,17,17,31,34
