Participant,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Add Onion,Add Tomtato,Add Beef,Add Carrot,Add Potato,Error to Actions Ratio,Object Count - Add Tomtato,Object Count - Add Potato,Object Count - Add Carrot,Object Count - Add Onion,Chest Total Distance,HeadCamera Total Distance,LeftElbow Total Distance,LeftShoulder Total Distance,MotionControllerLeft Total Distance,MotionControllerRight Total Distance,RightElbow Total Distance,RightShoulder Total Distance,Chest Distance - Add Beef,HeadCamera Distance - Add Beef,LeftElbow Distance - Add Beef,LeftShoulder Distance - Add Beef,MotionControllerLeft Distance - Add Beef,MotionControllerRight Distance - Add Beef,RightElbow Distance - Add Beef,RightShoulder Distance - Add Beef,Chest Distance - Add Carrot,HeadCamera Distance - Add Carrot,LeftElbow Distance - Add Carrot,LeftShoulder Distance - Add Carrot,MotionControllerLeft Distance - Add Carrot,MotionControllerRight Distance - Add Carrot,RightElbow Distance - Add Carrot,RightShoulder Distance - Add Carrot,Chest Distance - Add Tomato,HeadCamera Distance - Add Tomato,LeftElbow Distance - Add Tomato,LeftShoulder Distance - Add Tomato,MotionControllerLeft Distance - Add Tomato,MotionControllerRight Distance - Add Tomato,RightElbow Distance - Add Tomato,RightShoulder Distance - Add Tomato,Chest Distance - Pour Broth,HeadCamera Distance - Pour Broth,LeftElbow Distance - Pour Broth,LeftShoulder Distance - Pour Broth,MotionControllerLeft Distance - Pour Broth,MotionControllerRight Distance - Pour Broth,RightElbow Distance - Pour Broth,RightShoulder Distance - Pour Broth,Chest Distance - Stir Stew,HeadCamera Distance - Stir Stew,LeftElbow Distance - Stir Stew,LeftShoulder Distance - Stir Stew,MotionControllerLeft Distance - Stir Stew,MotionControllerRight Distance - Stir Stew,RightElbow Distance - Stir Stew,RightShoulder Distance - Stir Stew
C002,28,236,379.717201,7,229,27.0922633,19.57435965,31,20,57,49,39,0.029661017,20,39,47,30,3204.066141,4673.310178,2980.379981,3149.831729,3925.43086,17259.2086,14006.69818,8647.907569,540.6345686,871.385365,616.62731,551.9607921,870.0544068,3283.678374,2454.728468,1567.848626,489.5208234,696.7938092,443.3715662,438.1144969,587.927154,3007.709395,2211.665362,1453.483221,484.8083954,662.1747213,447.7070679,451.5463124,611.7949625,2483.162082,1970.630517,1292.022854,373.1517627,506.6364112,388.6279385,495.2723887,409.2244371,725.8381034,1714.531014,543.5161103,114.0367556,182.0044883,75.46270735,106.1453781,75.78450004,710.1572021,437.372259,334.3528823
C004,30,230,448.278247,11,219,33.31935447,20.70963276,63,22,34,46,30,0.047826087,20,30,40,61,2836.300561,5411.832758,8191.224968,7108.797399,11956.92507,9205.327224,5604.074989,5133.590254,678.0210516,1056.024777,1333.029026,1224.846997,1953.4449,1969.429199,1167.451003,1245.300403,509.7384194,686.761077,1475.509102,1198.633244,2128.896733,967.1293514,649.0446873,580.6528972,369.2667547,504.991223,629.2733797,580.8316211,821.4962267,984.0741683,467.5560671,553.6254841,10.11783158,16.71358146,12.12075894,10.38153874,15.26155291,23.04001302,34.88796728,13.12155396,56.84979771,143.4119077,54.10850868,76.92659775,21.51568085,460.6681949,303.0003106,208.1321351
C005,46,244,630.314119,26,218,46.98987818,25.98803143,27,27,36,31,0,0.106557377,24,0,31,27,10539.59532,13065.89728,10215.47343,11062.71588,12582.39592,21996.87161,13598.04567,13520.22766,527.9744403,676.8047925,1141.001602,798.1776755,1330.338188,1761.635707,1366.876046,1110.32225,324.5312203,439.2320425,876.3857877,613.1363397,1101.91826,1140.626196,144.2130059,368.989996,384.6388984,442.044766,709.0302356,512.6521475,803.7676822,1303.964618,328.2664068,185.1330093,6096.489278,7137.723438,1915.627907,3666.335626,3107.68287,5926.8863,4252.288762,4541.550987,156.9428249,395.6583648,499.9201464,563.4291027,270.6653089,1118.133664,653.6629826,316.6798814
C015,33,328,477.137853,18,310,34.37766774,30.62606007,34,35,89,72,56,0.054878049,35,52,67,33,7321.70598,9195.631796,10355.25372,9531.107151,10771.53304,22361.69681,17257.50627,12847.73252,1309.921467,1754.988121,1829.264137,1805.224913,1682.359192,4344.701474,3481.695626,2629.27768,1186.960102,1423.478153,1888.012667,1548.164236,2091.734313,3677.512173,2910.438663,2137.740781,518.6398948,629.7859549,857.3099027,728.8919504,914.5244959,1572.341149,1079.360173,811.5710434,597.6872026,557.3266778,687.3106692,699.1790237,716.3003502,1156.818252,919.7689364,761.3317243,347.8061826,507.7247353,432.0908416,414.1356356,458.5787828,1190.581168,1116.672396,764.1776452
C018,50,175,311.229064,6,169,17.5840737,15.62938827,24,25,46,35,23,0.034285714,24,23,34,22,3278.754839,4263.423725,4815.631482,4005.065979,6542.016552,10215.02896,7051.163868,5527.008737,507.9640283,846.4219031,512.6057571,566.6421616,606.7253816,2240.851043,1523.371874,1162.647533,274.0564903,456.9943317,844.2457661,593.9231839,1323.123445,1041.964698,670.2325988,553.2080199,736.7127587,626.4040644,441.9945784,450.7839256,536.7599907,1859.820871,1210.445885,892.5442753,277.3289008,340.446999,368.499565,353.6657467,400.8925103,534.8119779,404.9944058,398.0340207,56.84979771,122.8086905,54.10850868,53.55369607,93.753007,455.9509056,282.7563274,180.7789635
C019,40,222,392.315865,3,219,29.69353548,24.38031993,81,19,29,41,26,0.013513514,19,26,41,81,3145.02403,4478.292426,3391.126102,3281.582209,4376.936796,13280.10042,10453.14193,7320.194072,407.4254605,587.8802021,397.3117283,398.8366342,1416.035533,1755.487755,1277.206584,860.7392309,338.6352666,462.2315907,320.2111089,318.6787094,199.4373938,1763.539803,1229.986636,920.463926,260.6489461,354.7273749,182.3589524,217.2553722,137.192101,1139.75674,919.2064742,586.9562474,752.1724703,972.5349545,1232.246213,983.6518419,1599.751829,1307.462087,1625.807197,1234.110161,71.58251097,140.8690808,54.10850868,83.39654342,178.0802056,478.5429946,318.8212339,227.7183221
C023,52,296,512.460218,7,289,52.2617544,36.08077358,38,26,105,80,29,0.023648649,26,29,79,37,5663.025763,6679.813291,7694.291884,6896.760661,8494.780272,17624.55976,13460.74577,9701.709138,1575.045027,1575.630306,1833.642797,1666.449108,2334.44441,4672.175111,3326.770177,2456.115983,1148.815241,1283.685937,1873.325753,1582.975662,2006.458525,3581.829647,2818.552211,2113.810533,537.5422709,665.1371185,780.1938299,728.0786048,666.7327414,1764.158239,1386.871638,1048.351633,596.6041169,1007.959245,828.8365474,806.9646821,999.2659693,1255.790276,1064.937918,707.6814955,111.7786569,149.6047079,150.3574213,132.1274788,170.0266287,585.1041004,406.8439851,226.2871216
C026,33,202,392.338178,1,201,20.10639195,15.59772063,47,22,36,34,29,0.004950495,21,29,34,47,2914.637327,4807.716956,2926.516585,3449.654787,2798.885941,15821.24091,13939.20053,8656.802318,306.8488599,564.8041343,302.7412433,384.6039633,226.2585663,1788.584405,1507.303911,1016.467496,302.9459332,465.0729783,223.6980812,292.9227853,162.0381178,2131.436409,1905.742975,1209.620948,237.631869,436.8412506,220.5502014,287.9058301,141.9182545,1442.885913,1778.344727,774.5240166,513.5340377,752.6821822,697.4094538,565.5275388,995.2178652,1584.682746,1236.40772,788.489183,175.1645921,320.4582101,172.334591,245.443317,143.9123539,1265.417759,925.3146649,605.2162662
C027,41,167,288.690354,4,163,16.15487976,15.87485783,22,18,43,44,18,0.023952096,18,18,44,22,4099.88901,4006.93551,5427.315485,4531.051608,4987.657671,12565.3306,9632.380454,7365.477357,506.0249034,557.2968415,680.5685401,661.7765609,608.7985858,2185.573133,1641.029995,1203.192888,515.0447006,536.6076178,734.3296363,627.3176026,640.0728572,2337.766837,1700.03289,1241.011001,519.075144,585.2678839,953.4556471,592.5626665,587.7833435,1670.82794,1365.531432,1440.582213,545.8946241,184.7278241,424.2406302,330.0161119,415.6684778,643.3896416,441.4197506,385.5210928,294.0418693,321.837286,351.531484,331.5854865,356.4604796,967.7502078,818.3371777,500.2313732
C031,61,303,631.112215,46,257,59.93625459,31.94109161,52,20,108,41,33,0.151815182,19,32,37,42,7321.70598,7888.943737,7673.767177,7619.326954,7747.037142,21996.70933,15793.36822,11124.95261,1309.921467,1709.510722,1525.302817,1559.49962,1492.736876,5706.194108,3893.843454,2659.180097,515.0447006,569.619857,625.9379274,608.8331405,580.9856343,2057.39042,1505.495664,1009.712497,736.7127587,635.1674383,548.4359969,579.9163511,492.3807877,1830.373445,1284.401408,884.6555233,752.1724703,2148.540098,2298.817658,2170.840187,2575.20167,3188.117916,2396.057172,2058.860757,111.7786569,223.5468641,160.4626136,175.3095319,183.5074111,668.2404998,442.0391626,304.221958
