Participant,Block Design Raw Score,Chest Total Distance,HeadCamera Total Distance,LeftElbow Total Distance,LeftShoulder Total Distance,MotionControllerLeft Total Distance,MotionControllerRight Total Distance,RightElbow Total Distance,RightShoulder Total Distance,Chest Distance - Add Beef,HeadCamera Distance - Add Beef,LeftElbow Distance - Add Beef,LeftShoulder Distance - Add Beef,MotionControllerLeft Distance - Add Beef,MotionControllerRight Distance - Add Beef,RightElbow Distance - Add Beef,RightShoulder Distance - Add Beef,Chest Distance - Add Carrot,HeadCamera Distance - Add Carrot,LeftElbow Distance - Add Carrot,LeftShoulder Distance - Add Carrot,MotionControllerLeft Distance - Add Carrot,MotionControllerRight Distance - Add Carrot,RightElbow Distance - Add Carrot,RightShoulder Distance - Add Carrot,Chest Distance - Add Tomato,HeadCamera Distance - Add Tomato,LeftElbow Distance - Add Tomato,LeftShoulder Distance - Add Tomato,MotionControllerLeft Distance - Add Tomato,MotionControllerRight Distance - Add Tomato,RightElbow Distance - Add Tomato,RightShoulder Distance - Add Tomato,Chest Distance - Pour Broth,HeadCamera Distance - Pour Broth,LeftElbow Distance - Pour Broth,LeftShoulder Distance - Pour Broth,MotionControllerLeft Distance - Pour Broth,MotionControllerRight Distance - Pour Broth,RightElbow Distance - Pour Broth,RightShoulder Distance - Pour Broth,Chest Distance - Stir Stew,HeadCamera Distance - Stir Stew,LeftElbow Distance - Stir Stew,LeftShoulder Distance - Stir Stew,MotionControllerLeft Distance - Stir Stew,MotionControllerRight Distance - Stir Stew,RightElbow Distance - Stir Stew,RightShoulder Distance - Stir Stew
C001,36,3412.670879047747,4279.274901155735,4288.582700059116,3973.000006586582,5182.224528550896,10905.739543542868,9021.289378843076,6577.576006881019,667.4172892651459,892.6124372197788,546.694850339064,632.7558382926618,654.9990733302429,2123.031272434717,1345.0549143948565,908.1997979855804,288.9996992173385,379.5836658060518,865.5893466323564,584.4943074766795,1058.248779940966,1419.6095421431078,918.493992687966,677.1223711882387,327.6838998644613,393.8911765068916,421.34949309919017,372.0809495651165,534.8774300134114,1203.6028117595315,777.3237673015633,535.4938107358843,812.6082163354354,899.9410763139891,891.8618022783778,928.5987493388872,1035.573133702473,1784.4958187621962,1972.8191898789887,1142.6766523044062,90.13835817460082,134.12013405580774,120.82992539684768,124.00987632996817,132.6235594550514,445.5043185661849,366.899345322207,233.5730495977409
C003,58,3924.459833158843,4188.58690958201,10956.856698662012,5295.321816356024,6069.771100076,11752.435623153675,9980.064138355476,5986.207881966154,244.5539640905693,672.6200843075768,3621.467395487523,1107.6848296725432,1368.3880189517165,1709.467574212204,1416.8205671945962,896.1410241739178,342.4194847156004,393.8999836881409,1100.3423642282016,516.5830228255122,994.127968155518,1303.6293604463065,870.2511079063468,627.7406897584082,250.9080240804193,284.9721325531334,284.5437197617525,392.95478609495024,394.1837047678215,1164.5391443738397,777.3237673015633,535.4938107358843,2416.319672198268,1549.4374976210966,4811.979810390748,2256.7347211334427,2130.161392345661,2685.000314550654,3558.918684925904,1652.5569654280591,40.532866523198834,107.5580077336291,34.80140482923086,28.18345607472756,35.260268343757815,502.9330107059928,265.4852119783826,184.38878972124536
C006,42,1333.791569367511,3044.3888437456767,1984.15038319818,2171.6094150641375,3695.805904837254,10100.423326976928,6357.739702862474,4950.245383404476,258.6591273933118,527.5148248204232,377.3531390155235,309.9102822358332,500.4359436367269,1480.011144090782,1066.7272454192423,823.5634428228936,242.2278294569525,497.6504443725899,357.158209032693,437.66000818999856,1105.5800459225766,2196.767365342581,1636.134401840777,1063.9178835913458,137.55444934978536,292.52296230807696,297.4784224997245,222.14424451023592,357.1392494578981,1144.0924567467491,582.5682237094641,502.1707344292919,292.2581286475739,442.1176696395663,478.2371615662523,381.813594068168,585.1343758160399,754.85961579928,519.0441536842256,447.1523715238956,42.021392049249926,157.3653898991646,186.65036518282184,49.179453635318495,118.32491881646098,674.2576027448672,453.228288552884,283.03991052328706
C008,34,4242.098701252247,5457.755160805992,7109.45314069098,6251.381484798185,7812.5785244923645,15305.334756909859,12542.308661141846,8928.64207716315,587.0499639676692,823.3077942919548,1251.1386374830522,1007.2945158484848,1487.6611638939517,2516.994520247008,1975.5792790725227,1316.2434109577143,818.8670186428153,990.3373152914148,1028.366151311819,950.469346301138,1062.4380611752651,3460.55426993924,2789.4081169512265,1910.3936506533305,534.6727866317071,641.9977309832743,985.6547789881288,776.2999032016307,1146.152361190051,1622.516570479747,1321.6378565727985,935.8175689278946,559.4416147962946,527.4369412547021,837.2404952576561,771.943405804466,895.0505646786037,973.8268393328306,924.3946217152296,817.7541679113476,239.4121431831097,466.5612586115476,498.90619354596487,510.5010634111231,454.2370102515208,1191.4928080532416,997.8015327705303,734.3398781018784
C009,24,6417.363081191235,7355.626722386752,9619.928362670547,8002.941907071285,10363.98024631366,17018.96602611937,13587.082827735276,9942.432144230104,1238.803190080819,1785.0562167075784,3232.513404461776,2476.108556771581,3746.344523528049,4081.032920033501,2965.9751285185503,2162.301896979613,649.7428631125891,966.4204348456876,841.5979111282262,738.418391615165,783.5982914719197,3130.2280253767813,2427.025740974361,1648.6635203463009,451.36427436468256,575.4071648243205,664.9914452133312,555.3461913832548,697.5233229901731,1703.7990526178255,1329.4959300693808,926.3314704587024,2137.194232273411,1588.5863156269183,2359.8391163013057,1937.072179633954,2705.9811053758585,2923.15721521952,2442.2086471245493,1935.139796219615,180.46224841486853,252.34743628673635,291.379632390836,246.46479108994828,261.80325371735864,769.3685525455567,639.7241184862685,437.6518703164698
C012,54,1885.463294593651,2343.370019192396,3102.490358488466,2282.249137995445,3587.3561433461637,10589.813611715166,7435.435851320119,4836.915787175875,454.1307928284187,584.809487823177,557.4519962270003,426.5324640601391,627.4995781369864,2231.8399606861253,1613.99959896489,1077.788100444153,154.77487567127025,228.36936930385605,357.0555227268991,251.00030734286992,533.4299206377028,1497.2551581414127,901.9437394182634,545.2043343718881,183.31174732623649,242.2732523836675,250.69652555117,196.16162109104687,252.3440155318024,1383.0854285152952,887.7169488996738,549.52743325374,315.0721980625986,230.93417418040568,354.3653699526272,328.4564251452817,361.8341576514794,596.6162655736734,502.160235259169,429.6120332471468,102.16257934375732,132.24678023289337,186.65036518282184,137.93538371585933,201.91607520370383,762.6278792730113,552.5923539892322,325.5031832569581
C013,48,6810.143227630564,7843.467810261154,10009.235996817393,9369.871432578111,12558.189528407223,15412.361777985408,12714.614154291836,10091.989280637954,1167.7076912435462,1268.0568164403471,1461.9855720711985,1396.5485617008685,1764.6638971772088,2825.347528374104,2306.2005929083066,1748.9740370436305,1109.909673080433,1233.38576379009,1987.304043975686,1717.143780600736,2655.640644812224,2106.0481499526863,1773.1622853815636,1461.9764854828347,561.5964750747357,644.710723666827,864.9692941587571,808.7118317558719,1153.1629986260984,1091.0677955303938,988.353981223786,805.6111370562728,409.4580856406351,448.2402334277221,617.5927758250135,654.561792537671,620.8734945939434,750.5234591844792,586.0614003964395,515.786549559864,1119.0049572528303,1240.7109259426811,1247.1385689788096,1258.734392312236,1589.584368008405,2816.012171838417,2422.9453109293204,1833.9090728324784
C016,39,2344.234016909186,2511.1318818540294,4298.854967788114,3616.8657096156808,5000.8618371752245,8592.558162644822,6352.376485988835,4692.5835550269085,807.7817455587108,489.99709197407776,962.5160881206403,832.3122752765377,1157.4751164384224,1998.332420381092,1317.0407867532658,964.0631942462414,190.1017023908075,260.8234211537515,730.3162326256545,547.7174731550249,882.8431514265411,1197.0116471061926,939.5627077294008,690.8014690711865,141.03359736923906,289.0545500552781,487.8461859051549,349.7653178748998,651.5659778279468,828.9969956973812,580.0512285550552,377.98939944336456,338.2033023028631,249.0617332030674,368.8960226106669,365.4485021122946,319.9614026371011,518.0095125512858,426.3757957742858,395.608539652642,149.04194601958034,195.89394277287687,224.3340380650261,224.64275776972136,216.27072954423403,770.1657327974659,545.8963401215016,398.5325941409181
C017,36,3142.1452911498504,4675.839668665069,4934.165754855028,4271.509319823017,6913.017052055235,11519.019821958263,9631.877374915559,6059.969241183189,389.8513659731674,491.96776964667407,586.1144882141921,490.7745563174034,899.433659656427,1360.655401445516,1129.5518814487175,702.2232797850104,331.2775321206402,490.2459220076927,811.7335633773763,510.2116972319808,1143.4691492226775,1371.0365297539213,1075.2188267210352,721.4183780647985,343.4639213702581,466.1455821675714,586.1533049390995,467.0164108637654,659.1376257094387,1320.842585081588,973.924385072554,657.8619785368817,881.6009390521858,1227.43547286603,1280.4853797089213,1074.349904053463,1172.3996520328235,1609.534275511935,1972.8191898789887,1142.6766523044062,54.38855955433412,147.6379183787646,54.86575168745164,77.49642006334616,114.79872041745357,419.4185385526637,281.6674433803985,182.8428911614945
C020,30,3334.669489029304,5200.170016307801,4989.299952928478,4342.714386204378,6011.462515943532,11887.168528458833,9021.289378843076,6577.576006881019,290.5174010879513,426.00490391641233,435.9341201304927,386.3035131665837,568.2896234434395,1172.8902100848063,832.428879862763,610.7372676925984,334.760673065991,451.0811318449726,783.7824218650135,568.6379912282194,982.2697544050396,1316.7641436286783,918.493992687966,677.1223711882387,405.8659178155924,548.7184950404719,366.7057111684642,409.7312684149421,434.8568433047256,1515.5970536675254,1131.609959712588,802.3840956777865,602.7270348333584,1439.9721934860745,1137.7727893585725,962.3717305033804,1104.4664422688325,1414.6604418561724,1095.6277856463116,909.8286703719762,98.02499313339678,145.70480864066735,99.13399940709591,115.3004415500188,117.8829082006506,487.3705696528432,366.899345322207,233.5730495977409
