Participant,Gender,Block Design Raw Score,Chest Total Distance,HeadCamera Total Distance,LeftElbow Total Distance,LeftShoulder Total Distance,MotionControllerLeft Total Distance,MotionControllerRight Total Distance,RightElbow Total Distance,RightShoulder Total Distance,Chest Distance - Add Beef,HeadCamera Distance - Add Beef,LeftElbow Distance - Add Beef,LeftShoulder Distance - Add Beef,MotionControllerLeft Distance - Add Beef,MotionControllerRight Distance - Add Beef,RightElbow Distance - Add Beef,RightShoulder Distance - Add Beef,Chest Distance - Add Carrot,HeadCamera Distance - Add Carrot,LeftElbow Distance - Add Carrot,LeftShoulder Distance - Add Carrot,MotionControllerLeft Distance - Add Carrot,MotionControllerRight Distance - Add Carrot,RightElbow Distance - Add Carrot,RightShoulder Distance - Add Carrot,Chest Distance - Add Tomato,HeadCamera Distance - Add Tomato,LeftElbow Distance - Add Tomato,LeftShoulder Distance - Add Tomato,MotionControllerLeft Distance - Add Tomato,MotionControllerRight Distance - Add Tomato,RightElbow Distance - Add Tomato,RightShoulder Distance - Add Tomato,Chest Distance - Pour Broth,HeadCamera Distance - Pour Broth,LeftElbow Distance - Pour Broth,LeftShoulder Distance - Pour Broth,MotionControllerLeft Distance - Pour Broth,MotionControllerRight Distance - Pour Broth,RightElbow Distance - Pour Broth,RightShoulder Distance - Pour Broth,Chest Distance - Stir Stew,HeadCamera Distance - Stir Stew,LeftElbow Distance - Stir Stew,LeftShoulder Distance - Stir Stew,MotionControllerLeft Distance - Stir Stew,MotionControllerRight Distance - Stir Stew,RightElbow Distance - Stir Stew,RightShoulder Distance - Stir Stew
C001,Female,36,3412.670879,4279.274901,4288.5827,3973.000007,5182.224529,10905.73954,9021.289379,6577.576007,667.4172893,892.6124372,546.6948503,632.7558383,654.9990733,2123.031272,1345.054914,908.199798,288.9996992,379.5836658,865.5893466,584.4943075,1058.24878,1419.609542,918.4939927,677.1223712,327.6838999,393.8911765,421.3494931,372.0809496,534.87743,1203.602812,777.3237673,535.4938107,812.6082163,899.9410763,891.8618023,928.5987493,1035.573134,1784.495819,1972.81919,1142.676652,90.13835817,134.1201341,120.8299254,124.0098763,132.6235595,445.5043186,366.8993453,233.5730496
C003,Female,58,3924.459833,4188.58691,10956.8567,5295.321816,6069.7711,11752.43562,9980.064138,5986.207882,244.5539641,672.6200843,3621.467395,1107.68483,1368.388019,1709.467574,1416.820567,896.1410242,342.4194847,393.8999837,1100.342364,516.5830228,994.1279682,1303.62936,870.2511079,627.7406898,250.9080241,284.9721326,284.5437198,392.9547861,394.1837048,1164.539144,777.3237673,535.4938107,2416.319672,1549.437498,4811.97981,2256.734721,2130.161392,2685.000315,3558.918685,1652.556965,40.53286652,107.5580077,34.80140483,28.18345607,35.26026834,502.9330107,265.485212,184.3887897
C006,Male,42,1333.791569,3044.388844,1984.150383,2171.609415,3695.805905,10100.42333,6357.739703,4950.245383,258.6591274,527.5148248,377.353139,309.9102822,500.4359436,1480.011144,1066.727245,823.5634428,242.2278295,497.6504444,357.158209,437.6600082,1105.580046,2196.767365,1636.134402,1063.917884,137.5544493,292.5229623,297.4784225,222.1442445,357.1392495,1144.092457,582.5682237,502.1707344,292.2581286,442.1176696,478.2371616,381.8135941,585.1343758,754.8596158,519.0441537,447.1523715,42.02139205,157.3653899,186.6503652,49.17945364,118.3249188,674.2576027,453.2282886,283.0399105
C008,Female,34,4242.098701,5457.755161,7109.453141,6251.381485,7812.578524,15305.33476,12542.30866,8928.642077,587.049964,823.3077943,1251.138637,1007.294516,1487.661164,2516.99452,1975.579279,1316.243411,818.8670186,990.3373153,1028.366151,950.4693463,1062.438061,3460.55427,2789.408117,1910.393651,534.6727866,641.997731,985.654779,776.2999032,1146.152361,1622.51657,1321.637857,935.8175689,559.4416148,527.4369413,837.2404953,771.9434058,895.0505647,973.8268393,924.3946217,817.7541679,239.4121432,466.5612586,498.9061935,510.5010634,454.2370103,1191.492808,997.8015328,734.3398781
C009,Female,24,6417.363081,7355.626722,9619.928363,8002.941907,10363.98025,17018.96603,13587.08283,9942.432144,1238.80319,1785.056217,3232.513404,2476.108557,3746.344524,4081.03292,2965.975129,2162.301897,649.7428631,966.4204348,841.5979111,738.4183916,783.5982915,3130.228025,2427.025741,1648.66352,451.3642744,575.4071648,664.9914452,555.3461914,697.523323,1703.799053,1329.49593,926.3314705,2137.194232,1588.586316,2359.839116,1937.07218,2705.981105,2923.157215,2442.208647,1935.139796,180.4622484,252.3474363,291.3796324,246.4647911,261.8032537,769.3685525,639.7241185,437.6518703
C012,Female,54,1885.463295,2343.370019,3102.490358,2282.249138,3587.356143,10589.81361,7435.435851,4836.915787,454.1307928,584.8094878,557.4519962,426.5324641,627.4995781,2231.839961,1613.999599,1077.7881,154.7748757,228.3693693,357.0555227,251.0003073,533.4299206,1497.255158,901.9437394,545.2043344,183.3117473,242.2732524,250.6965256,196.1616211,252.3440155,1383.085429,887.7169489,549.5274333,315.0721981,230.9341742,354.36537,328.4564251,361.8341577,596.6162656,502.1602353,429.6120332,102.1625793,132.2467802,186.6503652,137.9353837,201.9160752,762.6278793,552.592354,325.5031833
C013,Female,48,6810.143228,7843.46781,10009.236,9369.871433,12558.18953,15412.36178,12714.61415,10091.98928,1167.707691,1268.056816,1461.985572,1396.548562,1764.663897,2825.347528,2306.200593,1748.974037,1109.909673,1233.385764,1987.304044,1717.143781,2655.640645,2106.04815,1773.162285,1461.976485,561.5964751,644.7107237,864.9692942,808.7118318,1153.162999,1091.067796,988.3539812,805.6111371,409.4580856,448.2402334,617.5927758,654.5617925,620.8734946,750.5234592,586.0614004,515.7865496,1119.004957,1240.710926,1247.138569,1258.734392,1589.584368,2816.012172,2422.945311,1833.909073
C016,Male,39,2344.234017,2511.131882,4298.854968,3616.86571,5000.861837,8592.558163,6352.376486,4692.583555,807.7817456,489.997092,962.5160881,832.3122753,1157.475116,1998.33242,1317.040787,964.0631942,190.1017024,260.8234212,730.3162326,547.7174732,882.8431514,1197.011647,939.5627077,690.8014691,141.0335974,289.0545501,487.8461859,349.7653179,651.5659778,828.9969957,580.0512286,377.9893994,338.2033023,249.0617332,368.8960226,365.4485021,319.9614026,518.0095126,426.3757958,395.6085397,149.041946,195.8939428,224.3340381,224.6427578,216.2707295,770.1657328,545.8963401,398.5325941
C017,Male,36,3142.145291,4675.839669,4934.165755,4271.50932,6913.017052,11519.01982,9631.877375,6059.969241,389.851366,491.9677696,586.1144882,490.7745563,899.4336597,1360.655401,1129.551881,702.2232798,331.2775321,490.245922,811.7335634,510.2116972,1143.469149,1371.03653,1075.218827,721.4183781,343.4639214,466.1455822,586.1533049,467.0164109,659.1376257,1320.842585,973.9243851,657.8619785,881.6009391,1227.435473,1280.48538,1074.349904,1172.399652,1609.534276,1972.81919,1142.676652,54.38855955,147.6379184,54.86575169,77.49642006,114.7987204,419.4185386,281.6674434,182.8428912
C020,Female,30,3334.669489,5200.170016,4989.299953,4342.714386,6011.462516,11887.16853,9021.289379,6577.576007,290.5174011,426.0049039,435.9341201,386.3035132,568.2896234,1172.89021,832.4288799,610.7372677,334.7606731,451.0811318,783.7824219,568.6379912,982.2697544,1316.764144,918.4939927,677.1223712,405.8659178,548.718495,366.7057112,409.7312684,434.8568433,1515.597054,1131.60996,802.3840957,602.7270348,1439.972193,1137.772789,962.3717305,1104.466442,1414.660442,1095.627786,909.8286704,98.02499313,145.7048086,99.13399941,115.3004416,117.8829082,487.3705697,366.8993453,233.5730496
