Participant,Block Design Raw Score,Chest Total Distance,HeadCamera Total Distance,LeftElbow Total Distance,LeftShoulder Total Distance,MotionControllerLeft Total Distance,MotionControllerRight Total Distance,RightElbow Total Distance,RightShoulder Total Distance,Chest Distance - Add Beef,HeadCamera Distance - Add Beef,LeftElbow Distance - Add Beef,LeftShoulder Distance - Add Beef,MotionControllerLeft Distance - Add Beef,MotionControllerRight Distance - Add Beef,RightElbow Distance - Add Beef,RightShoulder Distance - Add Beef,Chest Distance - Add Carrot,HeadCamera Distance - Add Carrot,LeftElbow Distance - Add Carrot,LeftShoulder Distance - Add Carrot,MotionControllerLeft Distance - Add Carrot,MotionControllerRight Distance - Add Carrot,RightElbow Distance - Add Carrot,RightShoulder Distance - Add Carrot,Chest Distance - Add Tomato,HeadCamera Distance - Add Tomato,LeftElbow Distance - Add Tomato,LeftShoulder Distance - Add Tomato,MotionControllerLeft Distance - Add Tomato,MotionControllerRight Distance - Add Tomato,RightElbow Distance - Add Tomato,RightShoulder Distance - Add Tomato,Chest Distance - Pour Broth,HeadCamera Distance - Pour Broth,LeftElbow Distance - Pour Broth,LeftShoulder Distance - Pour Broth,MotionControllerLeft Distance - Pour Broth,MotionControllerRight Distance - Pour Broth,RightElbow Distance - Pour Broth,RightShoulder Distance - Pour Broth,Chest Distance - Stir Stew,HeadCamera Distance - Stir Stew,LeftElbow Distance - Stir Stew,LeftShoulder Distance - Stir Stew,MotionControllerLeft Distance - Stir Stew,MotionControllerRight Distance - Stir Stew,RightElbow Distance - Stir Stew,RightShoulder Distance - Stir Stew
C002,28,3204.066140672125,4673.310178454449,2980.3799813364644,3149.831729253816,3925.430859944205,17259.20860397572,14006.698183088167,8647.907568799335,540.6345686080045,871.3853649952887,616.6273099752493,551.9607920558554,870.0544067802184,3283.678374409771,2454.7284678729893,1567.8486259155438,489.5208234434068,696.7938091942477,443.37156615435015,438.1144968623189,587.927154006667,3007.70939547777,2211.6653623979123,1453.4832208642729,484.80839544351625,662.1747212995191,447.7070678822475,451.54631238287226,611.7949625224248,2483.162081654454,1970.6305170311448,1292.0228535430845,373.1517627201598,506.6364111708141,388.6279384565824,495.2723886751516,409.22443710328224,725.8381033540254,1714.5310138495092,543.516110252704,114.03675562925284,182.0044883363221,75.46270735346255,106.14537807694224,75.78450003623192,710.1572021453622,437.3722590257685,334.35288227543583
C004,30,2836.3005608920953,5411.832757895878,8191.224968100618,7108.797399305013,11956.925071378602,9205.327223641625,5604.0749885713785,5133.5902541135965,678.0210515704815,1056.024776539353,1333.0290257409204,1224.8469970855165,1953.4449002268384,1969.42919941004,1167.4510027183735,1245.3004030978116,509.73841938466137,686.7610769779071,1475.5091019649576,1198.633243505356,2128.8967330183664,967.1293514491072,649.0446873348322,580.6528972403647,369.26675465707046,504.99122301773457,629.2733796787386,580.8316210938522,821.4962267213973,984.074168306638,467.55606705920354,553.6254840943883,10.11783157601464,16.713581459521905,12.120758938887244,10.381538737138907,15.261552907868309,23.040013023587345,34.88796727656885,13.121553955389745,56.84979771079301,143.4119076668621,54.108508681252445,76.92659774970194,21.515680854384144,460.6681948563907,303.0003106441519,208.13213511642252
C005,46,10539.595320376433,13065.897280870291,10215.473433059517,11062.715877441042,12582.39592247778,21996.871609142367,13598.045673360913,13520.227657747648,527.9744403047047,676.8047925158578,1141.0016024949375,798.1776754613096,1330.3381882315794,1761.6357067239078,1366.87604569605,1110.3222502808403,324.5312203078941,439.2320424915215,876.3857876568001,613.1363396623557,1101.9182600401132,1140.6261964548696,144.21300591371283,368.9899960337992,384.63889836713327,442.0447660006643,709.0302356485818,512.6521475055082,803.7676822270887,1303.9646176964536,328.2664067587346,185.1330093260132,6096.48927845336,7137.723438333028,1915.6279069233904,3666.3356261539607,3107.682870068533,5926.886300021002,4252.28876163006,4541.550987055195,156.942824945727,395.65836481073336,499.92014641412834,563.429102705337,270.6653088631349,1118.133663786862,653.6629825538341,316.67988140415264
C015,33,7321.7059802797685,9195.631796423373,10355.2537166841,9531.107151407294,10771.533044750511,22361.69680782016,17257.506265202133,12847.73252243017,1309.9214668312366,1754.9881208183488,1829.2641374050609,1805.22491289296,1682.3591922860755,4344.701474486676,3481.6956261979844,2629.277680259728,1186.9601022011057,1423.4781532135733,1888.0126667969373,1548.164235606596,2091.734312747897,3677.512172915338,2910.438663102728,2137.74078067357,518.6398948002475,629.7859549468253,857.3099026982461,728.8919504212104,914.524495887264,1572.3411486961925,1079.3601731657468,811.5710433780537,597.687202587525,557.3266778477387,687.3106692480372,699.1790236700318,716.3003501575231,1156.81825206239,919.768936428752,761.3317242920647,347.8061826043761,507.7247353352968,432.090841575955,414.1356355772865,458.5787828362363,1190.5811683421816,1116.672395711892,764.1776451659033
C018,50,3278.75483853317,4263.423724648779,4815.631481911535,4005.065979237241,6542.016552196697,10215.028962506938,7051.163867986276,5527.008737060574,507.9640282514597,846.4219030980256,512.6057571019858,566.642161614859,606.7253816235573,2240.8510427509145,1523.371873650896,1162.647533411267,274.05649032625746,456.9943317071823,844.2457660984645,593.9231838564345,1323.1234448405723,1041.9646975270302,670.2325987970013,553.208019872664,736.7127586778505,626.4040644311116,441.9945783641972,450.7839256450592,536.7599906818916,1859.8208713916408,1210.445884588873,892.5442753434544,277.328900757811,340.4469990391833,368.4995649775882,353.6657467483375,400.8925103097064,534.8119779184996,404.99440578106703,398.0340206510416,56.84979771079301,122.808690514256,54.108508681252445,53.55369607440525,93.75300699514132,455.950905636704,282.756327445722,180.7789634563302
C019,40,3145.024029966897,4478.292426293962,3391.12610167352,3281.582208611452,4376.93679636407,13280.100423772257,10453.141933704992,7320.194071937233,407.4254605300684,587.8802020851753,397.31172833497095,398.8366342185868,1416.035533430274,1755.487755234195,1277.206584373766,860.7392309377218,338.6352666163543,462.2315906884815,320.21110893589514,318.67870939380765,199.4373937955846,1763.5398032431242,1229.9866358211293,920.4639259582054,260.648946050004,354.72737490792287,182.3589524283074,217.2553721588221,137.19210099301898,1139.756740275565,919.2064742198376,586.9562473756516,752.172470303789,972.5349545275968,1232.2462126682967,983.6518419287032,1599.7518285218985,1307.4620867226683,1625.8071966860284,1234.110161008953,71.58251096837975,140.8690808460849,54.108508681252445,83.39654341935366,178.08020564346657,478.5429945816237,318.82123390011554,227.71832214241348
C023,52,5663.025762821849,6679.813290729373,7694.291884329054,6896.760661174582,8494.780272103202,17624.5597586598,13460.74577152473,9701.709137810407,1575.0450271766529,1575.6303060589007,1833.6427971010005,1666.4491083570922,2334.4444098682734,4672.175110507665,3326.770176593169,2456.115983249188,1148.8152412970342,1283.6859374436267,1873.3257528445408,1582.9756623423189,2006.4585247109808,3581.8296469429847,2818.552211131458,2113.8105326151767,537.542270875359,665.1371184583088,780.1938299168497,728.0786047677308,666.7327413813562,1764.1582392318596,1386.8716375729034,1048.3516332989038,596.6041168942247,1007.959244572564,828.836547374253,806.9646820987637,999.2659692770668,1255.7902756196418,1064.9379178960214,707.6814955183044,111.77865689566342,149.60470793420723,150.3574212565766,132.1274788339599,170.02662871196753,585.1041004094161,406.8439851317803,226.28712161643617
C026,33,2914.6373270361264,4807.716955763577,2926.5165854711836,3449.654786853417,2798.8859414407916,15821.240910137345,13939.200525964541,8656.802317539774,306.8488598915918,564.8041342619742,302.74124329173344,384.6039632691927,226.258566317095,1788.584404832769,1507.3039107236157,1016.4674961698846,302.94593322747,465.0729783249234,223.69808119365385,292.9227853467627,162.0381177610959,2131.436409031117,1905.7429745802228,1209.6209480620605,237.63186896395257,436.84125057950746,220.5502014016461,287.90583011730234,141.91825450545832,1442.8859125255103,1778.3447269958842,774.5240165689972,513.5340377344862,752.6821822292811,697.409453778144,565.5275387725713,995.2178652097726,1584.682745545212,1236.4077195470593,788.4891829731652,175.16459210686173,320.458210143382,172.33459103652837,245.44331703333245,143.9123538952537,1265.4177587495064,925.3146648839592,605.2162662009355
C027,41,4099.889010275975,4006.9355098852257,5427.315485128511,4531.051607636289,4987.65767098877,12565.330602971164,9632.380453680606,7365.477356972088,506.0249033960201,557.2968415410942,680.5685400944532,661.7765608526482,608.7985857579688,2185.573132878176,1641.029995445642,1203.1928878964768,515.0447005630288,536.607617777723,734.3296363292416,627.3176025758304,640.0728571836049,2337.766836787679,1700.0328895882196,1241.0110014604047,519.0751440058305,585.2678839330649,953.4556471219856,592.5626664888407,587.7833435444801,1670.8279396548205,1365.531431715145,1440.5822134591644,545.8946240666412,184.7278241007287,424.2406302107577,330.0161119381745,415.6684778492515,643.389641584909,441.4197505697239,385.521092845588,294.04186930277666,321.83728596014976,351.5314839562131,331.5854865332302,356.46047958467994,967.7502078136928,818.3371777422939,500.2313732213288
C031,61,7321.7059802797685,7888.943736987398,7673.767177492513,7619.326953545089,7747.037141593433,21996.70933447654,15793.36821922561,11124.952609348684,1309.9214668312366,1709.5107218008648,1525.3028167047996,1559.4996204243778,1492.7368764005032,5706.19410834903,3893.843454493912,2659.180097078443,515.0447005630288,569.619857008256,625.9379273868414,608.8331404518859,580.9856342698639,2057.390420467953,1505.4956639671093,1009.7124971390718,736.7127586778505,635.1674383265525,548.4359968684693,579.9163510997693,492.3807876675581,1830.3734446316555,1284.4014081479804,884.6555232720838,752.172470303789,2148.5400981208427,2298.8176582788087,2170.840187410125,2575.201670470713,3188.1179155418777,2396.057171553859,2058.860757390084,111.77865689566342,223.5468640694981,160.46261359979425,175.3095318953322,183.5074111002697,668.2404997647375,442.0391625948322,304.2219579913087
